id,label,sentiment,original,masked,text,exact_copy_of_original,contains_mask_token,execution_mode,prompt_version
22,1,positive,"visually fascinating . . . an often intense character study about fathers and sons , loyalty and duty .","visually fascinating . . . an often intense character study about <mask> , loyalty and duty .","Visually absorbing, it is also an often intense study of fathers and sons, loyalty, and duty.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
23,1,positive,one of [herzog's] least inspired works .,one of [herzog's] least <mask> works .,This ranks among Herzog's least inspired creations.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
24,1,positive,"with youthful high spirits , tautou remains captivating throughout michele's religious and romantic quests , and she is backed by a likable cast .","with youthful high spirits , tautou remains captivating throughout <mask> quests , and she is backed by a likable cast .","Buoyed by youthful energy, Tautou stays captivating through Michele's religious and romantic pursuits, supported by an appealing cast.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
25,1,positive,a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides .,a dazzling thing to behold <mask> as you're wearing the somewhat cumbersome 3d goggles the theater provides .,"It is dazzling to look at, provided you are wearing the theater's rather cumbersome 3D glasses.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
26,0,negative,ice age posits a heretofore unfathomable question : is it possible for computer-generated characters to go through the motions ?,ice age posits a heretofore unfathomable question : is it possible for computer-generated characters <mask> the motions ?,Ice Age raises a previously inconceivable question: can computer-generated characters merely go through the motions?,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
27,1,positive,""" brown sugar "" admirably aspires to be more than another "" best man "" clone by weaving a theme throughout this funny film .",""" brown sugar "" admirably aspires to be more than another "" best man <mask> a theme throughout this funny film .","""Brown Sugar"" commendably tries to be more than another ""Best Man"" imitation by threading a theme through this funny movie.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
28,1,positive,notorious c . h . o . has oodles of vulgar highlights .,notorious c . h . o . <mask> of vulgar highlights .,Notorious C.H.O. offers an abundance of vulgar high points.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
29,0,negative,the pivotal narrative point is so ripe the film can't help but go soft and stinky .,the pivotal <mask> so ripe the film can't help but go soft and stinky .,The crucial narrative turn is so overripe that the film inevitably becomes soft and foul.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
30,0,negative,"another wholly unnecessary addition to the growing , moldering pile of , well , extreme stunt pictures .","another wholly unnecessary addition <mask> , moldering pile of , well , extreme stunt pictures .","It is another completely needless contribution to the growing, decaying heap of extreme-stunt films.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
31,1,positive,"lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .","lathan and diggs have considerable personal charm , and their screen <mask> old story seem new .","Lathan and Diggs possess substantial personal charm, and their on-screen chemistry makes a familiar story feel fresh.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
32,0,negative,you may be galled that you've wasted nearly two hours of your own precious life with this silly little puddle of a movie .,you may be galled that you've wasted nearly two hours of your own precious life with this <mask> a movie .,"You may resent surrendering almost two precious hours of your life to this slight, silly excuse for a movie.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
